은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,예/적금,KB장병내일준비적금」 특약,1,적용범위,"① “KB장병내일준비적금(이하 ‘이 적금’이라 합니다)” 거래는 이 특약을 적용하며, 이 특약에서 정하지 않은
사항은 예금거래기본약관 및 적립식예금약관을 적용합니다.
② 이 적금의 거래에 있어서 발생하는 전자금융거래에 관한 사항은 전자금융거래기본약관을 적용합니다."
KB_bank,예/적금,KB장병내일준비적금」 특약,2,가입대상,"① 이 적금의 가입대상은 실명의 개인으로 가입시점에 아래 1), 2) 조건을 모두 충족하는 현역병, 상근예비역,
의무경찰, 해양의무경찰, 의무소방원, 사회복무요원, 대체복무요원에 한합니다.
1) 이 적금 신규일 기준으로 남은 의무복무기간이 1개월 이상
2) 가입대상임을 증빙하는 ‘장병내일준비적금 가입자격 확인서’(주) 원본 제출
단, 조세특례제한법 제129조의2에 따른 금융소득종합과세 대상자는 1),2)조건 모두 충족하여도
가입 불가
(주)비대면 신규시 온라인 자격검증서비스*로 제출된 ‘장병내일준비적금 가입자격 확인서’도 사용 가능
온라인 자격검증서비스를 이용하기 위한 개인정보제공으로 필요시에는 ‘[필수]개인(신용)정보 제3자 제공
동의서 (가입자격확인용)’ 동의 필요
* 온라인 자격검증서비스 : 유무선 인터넷 웹사이트 및 스마트폰 Application 등에서 본인의 분산 식별자
(DID: Decentralized Identifiers)와 디지털증명서(VC: Verifiable Credentials) 사본을
제출해 상품 가입 자격을 검증하는 서비스
② 이 적금은 공동명의로 가입할 수 없으며, 양도가 불가합니다.
③ 이 적금은 금융기관별 1인 1계좌만 가입 가능합니다."
KB_bank,예/적금,KB장병내일준비적금」 특약,3,예금과목 및 계약기간,"① 이 적금의 예금과목은 정기적금으로 하며, 계약기간은 1개월~24개월 이내 일단위로 합니다.
② 이 적금의 만기일은 고객의 전역예정일(또는 소집해제예정일)로 합니다."
KB_bank,예/적금,KB장병내일준비적금」 특약,4,저축금액 및 저축방법,"① 이 적금의 초입금 최저금액은 0원 이상, 2회차 이후 저축금액은 1,000원 이상 원단위로, 고객이 설정한
은행별 비과세 저축한도 범위내에서 매월(월 초일부터 말일까지) 30만원 이하 금액을 만기일 전일까지
자유롭게 저축할 수 있습니다.
② 이 적금의 금융기관 합산 저축한도는 고객별 월 55만원이며, 동 저축한도를 초과하지 않는 범위 내에서
한 은행의 월 저축한도는 최고 30만원까지 설정 및 입금이 가능합니다."
KB_bank,예/적금,KB장병내일준비적금」 특약,5,이율의 적용,"① 이 적금의 만기이율은 기본이율과 우대이율을 합하여 계약기간 동안 적용합니다.
② 이 적금의 이율은 신규가입일 당시 영업점 및 KB국민은행 홈페이지에 게시한 이율을 적용하며,
우대이율은 제6조에서 정하는 조건을 충족하는 경우 적용합니다."
KB_bank,예/적금,KB장병내일준비적금」 특약,6,우대이율,"아래 항목별로 제공조건을 충족하는 경우 신규가입일 당시 영업점 및 KB국민은행 홈페이지에 게시한
우대이율(최고 연 3.0%p)을 적용합니다. 단, 모든 우대이율은 계약기간이 3개월 이상, 만기해지 계좌에 대하여
계약기간 동안 적용합니다.
급여이체 적금 신규월 초일부터 만기일 기준 전전월 말일까지 고객이 가입한 적금 계약기간
실적 (월 환산)의 2/3에 해당하는 기간 동안, 고객의 KB국민은행 입출금통장으로 급여이체
(연0.6%p) 실적이 매월 10만원 이상인 경우
주택청약
종합저축 적금 만기일 기준 전전월 말일을 기준으로, 고객이 KB국민은행 주택청약종합저축
계좌보유 (청년 주택드림 청약통장 포함) 계좌를 보유한 경우
(연0.2%p)
적금 신규월 초일부터 만기일 기준 전전월 말일까지 KB국민나라사랑카드(체크)
나라사랑카드
이용실적이 1회 이상 발생하고 적금 만기일 기준 전전월 말일까지
(연0.5%p)
KB국민나라사랑카드(체크)를 보유한 경우
기초생활수급자 적금만기일 기준 전전월 말일을 기준으로 영업점 방문 후 본인 명의 ‘수급자증명서’ 또는
(연3.0%p) ‘사회보장급여 중지통지서(중지사유:군입대)’를 제출한 경우"
KB_bank,예/적금,KB장병내일준비적금」 특약,7,세율의 적용,"① 이 적금은 비과세저축으로만 가입이 가능하며, 이 적금에서 발생하는 이자소득에 대해서는 소득세 및
농어촌특별세가 부과되지 않습니다. 다만, 관련 세법(‘조세특례제한법’ 및 ‘농어촌특별세법’)이 개정될 경우
세금이 부과될 수 있습니다.
② ①항에도 불구하고 다음 각 호에 해당되는 경우 소득세가 부과됩니다.
1. ‘조세특례제한법’에서 정하는 과세특례 요건을 충족하지 못하는 경우 이 적금에서 발생하는 이자에
대해서는 소득세가 부과됩니다.
2. 이 적금의 만기일 이후 발생하는 이자에 대해서는 소득세가 부과됩니다."
KB_bank,예/적금,KB장병내일준비적금」 특약,8,제한사항,"① 이 적금은 일부해지 및 계약기간 변경은 불가하나, 질권설정은 가능합니다.
② 이 적금은 ‘장병내일준비적금 가입자격 확인서’ 원본을 고객으로부터 받아서 신규 시 가입대상 여부를
확인하여야 합니다.
③ 이 적금을 ’25.1.1까지 가입한 계좌는 1회에 한하여 비과세저축 한도를 변경할 수 있습니다.
단, ’25.1.1까지의 비과세저축 한도변경 이력은 횟수에 포함하지 않습니다.
④ 이 적금의 신규일이 ’25.1.2 이후인 계좌는 비과세저축 한도변경이 불가합니다.
⑤ 이 적금의 비과세저축 한도는 5만원 단위로만 설정이 가능합니다.
단, 이 적금을 ’25.1.1까지 가입한 계좌는 기존에 설정한 비과세저축 한도를 유지할 수 있습니다."
KB_bank,예/적금,KB장병내일준비적금」 특약,9,1% 이자지원금,"① 1% 이자지원금이란, ‘장병내일준비적금’ 가입자의 목돈 마련 지원을 위한 국가 예산으로
지급되는 정부지원금으로 적금 신규일로부터 만기일까지 납입금액 건 별로 실제 예치일수 기간 동안
연 1%p를 적용하여 계산된 금액입니다. (’21.10.14 기준 만기도래 된 만기해지계좌부터 지급하며,
’23.12.31까지 입금분에 한해서만 적용)
② 지급대상은 이 적금 예금주로서 아래 1), 2)조건을 모두 충족하는 경우입니다.
1) 만기계좌
2) 만기계좌 해지 시 전역일이 명기된 확인서 원본 제출
(전역증, 병역증, 병적증명서, 복무사실확인서(대체복무요원만 가능) 中 택1)
단, 비대면 해지 시에는 온라인 자격검증서비스로 제출된 ‘장병내일준비적금 전역 확인서’로 전역일을
확인하며 이 경우 전역일이 명기된 확인서 원본 제출은 생략 가능
※ 이 적금은 비과세 저축으로만 가입 가능한 과세특례 전용상품으로, 관련 세법에 따라 과세특례 적용이
불가능한 가입자의 경우 1% 이자지원금 지급 불가"
KB_bank,예/적금,KB장병내일준비적금」 특약,10,매칭지원금,"① 매칭지원금이란, ‘장병내일준비적금’ 가입자의 목돈 마련 지원을 위한 국가 예산으로 지급되는 사회복귀
준비금으로, 지급금액은 ’22.1.1 시행일 이후 납입 당시 관련 법령에서 정한 금액으로 합니다.
② 매칭지원금의 지급대상 및 지급조건은「제9조 1% 이자지원금」에서 규정한 조건과 동일합니다.
③ 매칭지원금은 만기해지시 은행에 제출한 수령희망계좌로 국방부(국군재정관리단) 및 병무청에서 직접
지급하는 지원금입니다.
④ 매칭지원금은 정책 및 관련 법령 등의 변경에 따라 시기별로 지원금액이 상이할 수 있으며, 지급이 중단될
수 있습니다. 지원금액 변경내용은 국방부 나라사랑포털 및 은행 홈페이지 공지사항 또는 병역법 시행령
등을 통해 확인할 수 있습니다.
⑤ 매칭지원금 지급 시행일은 2022.1.1 이며, 시행일 이후 납입하는 금액부터 적용됩니다.
단, 이 적금은 비과세 저축으로만 가입 가능한 과세특례 전용상품으로, 관련 세법에 따라 과세특례 적용이
불가능한 가입자의 경우 매칭지원금 지급 불가합니다."
