은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,기타,「KB 스타플러스통장」 특약,1,적용범위,"KB 스타플러스통장(이하 ‘이 통장’이라 합니다)거래는 이 특약을 적용하며, 이 특약에서 정하지 않은 사항은
예금거래기본약관 및 입출금이자유로운예금약관을 적용합니다."
KB_bank,기타,「KB 스타플러스통장」 특약,2,가입대상,"① 이 통장의 가입대상은 『금융실명거래 및 비밀보장에 관한 법률』에 따라 실명이 확인된 개인으로,
한국씨티은행 고객 또는 임직원으로 확인된 순수개인 및 관련서류 미제출 임의단체 명의로 가입 가능하며
개인사업자와 공동명의로 가입이 불가합니다.
② 이 통장은 1인 1계좌로, 최초 신규(전환) 가입만 가능합니다."
KB_bank,기타,「KB 스타플러스통장」 특약,3,예금과목,"이 통장의 예금과목은 보통예금, 저축예금으로 합니다."
KB_bank,기타,「KB 스타플러스통장」 특약,4,전환가입,"기존 보유계좌의 동일 예금과목 상품으로 전환신규가 가능합니다. 다만, 개별 상품에서 정한 기준에 의해
전환신규가 불가한 상품은 제외됩니다."
KB_bank,기타,「KB 스타플러스통장」 특약,5,판매기간,"이 통장은 한국씨티은행과의 협약에 의해 한시적으로 판매하며, 판매기간은 인터넷 홈페이지, KB스타뱅킹,
영업점에 게시합니다."
KB_bank,기타,「KB 스타플러스통장」 특약,6,자동전환,"① 이 통장의 신규일로부터 1년이 경과한 달의 다음 달 첫 영업일에 「KB 올인원급여통장」으로 자동전환
됩니다. 단, 「KB 올인원급여통장」을 이미 보유한 경우 「KB종합통장」으로 자동전환 됩니다.
② 이 통장으로 “한국씨티은행과 KB국민은행의 업무협약을 통한 급여이체 이력*이 확인된 한국씨티은행
임직원”은 신규일로부터 3년이 경과한 달의 다음 달 첫 영업일에 「KB 올인원급여통장」으로 자동전환
됩니다. 단, 「KB 올인원급여통장」을 이미 보유한 경우 「KB종합통장」으로 자동전환 됩니다.
* 신규일로부터 1년이 경과한 달의 전월말일 기준 1개월 이내
③ 제1항 및 제2항에도 불구하고, 자동전환일이 미도래 된 계좌라도 일괄적으로 2027년 1월 4일에
「KB 올인원급여통장」으로 자동전환 됩니다. 단, 「KB 올인원급여통장」을 이미 보유한 경우 「KB종합통장」
으로 자동전환 됩니다."
KB_bank,기타,「KB 스타플러스통장」 특약,7,적용이율,"① 이 통장의 기본이율은 결산일 현재 영업점 또는 KB국민은행 홈페이지에서 게시한 기본이율을 적용합니다.
② 다른 통장에서 이 통장으로 전환신규한 계좌의 경우, 전환 후 최초 결산기에 대해서는 전환 전(前) 예금의
이율을 적용하고, 다음 결산기부터는 전환된 예금의 이율을 적용합니다."
KB_bank,기타,「KB 스타플러스통장」 특약,8,수수료 면제 및 환율우대,"① 면제 및 환율우대 기간 : 이 통장 신규일로부터 자동전환일 전일까지
※ 단, 자동전환 불가계좌의 경우 2027.1.3까지로 한함
② 면제 대상 수수료
① KB국민은행 인터넷·폰·모바일뱅킹 다른은행 이체수수료
② KB국민은행 자동화기기 다른은행 이체수수료
③ KB국민은행 자동화기기 시간외 출금수수료
④ 납부자 자동이체(타행 자동이체 포함) 수수료
⑤ 다른은행 자동화기기* 출금 수수료
⑥ KB국민은행 창구 다른은행 이체 수수료
⑦ 통장(증서) 재발급 수수료
⑧ 제증명서 발급 수수료(수신)
⑨ 제사고 신고 수수료
⑩ 자기앞수표 발행 수수료(일반)
⑪ 자기앞수표 교환전 자금화 수수료
⑫ 예금거래 조회 수수료(창구처리)
⑬ 직불카드 발급 수수료(재발급 포함)
⑭ OTP발급 수수료(카드형/일반형/스마트형)
⑮ 해외송금수수료 면제 (전신료, 중계은행수수료 및 해외수취은행수수료 제외)
* 다른은행 자동화기기(ATM)의 경우 제휴 ATM 및 VAN사(효성·나이스·한네트 등) ATM 제외
③ 외국통화 환전 시 환율우대율(외국동전 제외)
주1) 인터넷뱅킹, KB스타뱅킹, 콜센터
주2)     비대면을 통해 매입한 외국통화를 비대면채널에서 원화로 매도하는 경우, 외국통화 매입시에 적용했던
환율우대율 적용 (예:  비대면 채널에서 USD 90% 우대율로 매입한 USD를 비대면에서 원화로 매도하는 경우, 환율우대율 90% 적용)
주3) 기타통화: AUD, CAD, CNY, CHF, GBP, HKD, NZD, SGD, THB에 한함
④ 영업점 및 KB스타(인터넷)뱅킹 해외송금 시 환율우대율 : 환율우대(매매마진율) 50%
(개인이전거래 및 증빙서류없는 자본거래 지급 사유만 가능)(개인이전거래 및 증빙서류없는 ※ 단, 미화5천불 이하 소액해외송금, 지급증빙서류미제출송금
자본거래 지급 사유만 가능  , 해외체재비해외송금에 한하며, 웨스턴유니온송금,리브캄보디아 해외송금, 윙캄보디아 해외송금,
KB-WISE해외송금 및 KB ONE ASIA해외송금은 제외
⑤ ‘KB 스타플러스통장’ 원화계좌에서 본인명의 외화계좌로 입출금 거래 시 환율우대율
신규, 해지 및 타행으로의 이체 제외  ※ KB 스타플러스통장 및 외화계좌 모두 본인명의 계좌에 한함 ※
(주)기타통화 : AUD, CAD, CNY, CHF, GBP, HKD, NZD, SGD에 한함"
KB_bank,기타,「KB 스타플러스통장」 특약,9,거래방법,"① 이 통장의 신규 및 전환은 영업점, KB스타뱅킹을 통해 가능합니다.
② 이 통장의 해지는 영업점, 개인인터넷뱅킹, KB스타뱅킹을 통해 가능합니다."
KB_bank,기타,「KB 스타플러스통장」 특약,10,제한사항,"① 자동전환 후 수수료 면제 및 환전우대 혜택, 이율 등은 ‘KB 올인원급여통장(또는 KB종합통장)’에서 정한
기준에 따릅니다.
② 이 통장 신규 후 자동전환 되기 이전에 다른 상품으로 전환하는 경우, 이 통장으로 재 전환이 불가합니다."
