은행,예/적금 또는 대출,상품이름,조항,조항이름,조항내용
KB_bank,기타,「KB 주거행복 월세통장」 특약,1,적용범위,"「KB주거행복 월세통장」(이하 '이 통장'이라 합니다)의 거래는 이 특약을 적용하며, 이 특약에서
정하지 않은 사항은 예금거래기본약관, 입출금이자유로운예금약관, 계좌간자동이체약관,
납부자자동이체약관 및 타행자동이체약관을 적용합니다."
KB_bank,기타,「KB 주거행복 월세통장」 특약,2,예금과목,이 통장의 예금과목은 저축예금으로 합니다.(통장 전환 불가. 신규만 가능)
KB_bank,기타,「KB 주거행복 월세통장」 특약,3,가입대상,이 통장의 가입대상은 실명의 개인으로 1인 1통장에 한합니다.
KB_bank,기타,「KB 주거행복 월세통장」 특약,4,가입금액,이 통장의 가입금액은 제한이 없습니다.
KB_bank,기타,「KB 주거행복 월세통장」 특약,5,기본이율,이 통장의 기본이율은 결산일 현재 영업점에 고시한 저축예금의 기본이율을 적용합니다.
KB_bank,기타,「KB 주거행복 월세통장」 특약,6,수수료 면제,"① 월세 납부 자동이체 등록 고객이 이 통장을 통해 월세 납부 시‘납부자 자동이체(타행자동이체 포함)’㈜
수수료 면제를 제공합니다.
※㈜ ‘납부자 자동이체(타행자동이체 포함)’란 국민은행에서 다른 은행으로의 자동이체 거래를 말합니다.
② 월세가 자동이체될 때 SMS(휴대폰 문자메시지)로 해당 내용을 알려주는「월세이체 알림서비스」를
월세 납부 자동이체 등록 고객에게 무료로 제공합니다.
단, 고객이 ‘입출금내역 통지등록’서비스를 신청한 경우에 한합니다."
KB_bank,기타,「KB 주거행복 월세통장」 특약,7,부가서비스,월세 납부 자동이체 등록 고객이「월세 이체내역서」를 신청하는 경우 무료로 제공합니다.
KB_bank,기타,「KB 주거행복 월세통장」 특약,8,자동이체 제한,"① 이 통장은 월세납부 전용통장으로 자동이체 등록은「KB주거행복 월세대출」약정 후 가능하며,
월세 납부를 위한 자동이체(납부자 자동이체, 타행자동이체 포함) 1건만 등록할 수 있습니다.
② 자동이체 입금은행이 KB국민은행일 경우, 이체지정일이 은행 영업일이 아닌 때는 그 다음
영업일에 이체되며 이체지정일이 없는 월의 경우에는 해당월의 말일에 이체됩니다.
③ 납부자자동이체 등록 고객으로서 위 ②항의 자동이체와 관련하여 자동이체 입금은행이
다른 은행일 경우에는, 월세 납부자 출금계좌에서 이체지정일(은행 영업일이 아닌 때는 그
다음 영업일, 이체지정일이 없는 월의 경우에는 해당월의 말일) 전 제 1영업일에 출금하여
이체지정일에 입금계좌로 입금됩니다. 단, 해당월 이체지정일에 이체되지 않은 자동이체 금액은
해당월 이체지정일 이후에 다시 이체되지 않습니다.
④ 타행자동이체 등록 고객으로서 위 ②항의 자동이체와 관련하여 자동이체 입금은행이
다른 은행일 경우에는, 월세 납부자 출금계좌에서 이체지정일(은행 영업일이 아닌 때는 그
다음 영업일, 이체지정일이 없는 월의 경우에는 해당월의 말일)에 출금하여 이체지정일에
입금계좌로 입금됩니다. 단, 해당월 이체지정일에 이체되지 않은 자동이체 금액은 해당월
이체지정일 이후에 다시 이체되지 않습니다."
KB_bank,기타,「KB 주거행복 월세통장」 특약,9,지급 및 이체 제한,"① 이 통장은「KB주거행복 월세대출」과 약정되어 있는 경우에 한하여 잔액이 마이너스(-) 될 수 있습니다.
②「KB주거행복 월세대출」의 약정계좌로 등록된 경우, 통장 잔액이 마이너스(-)가 되도록 하는
현금인출(기타 출금거래 포함) 거래는 불가능합니다. 단, 대출 약정할 때 등록된 월세납부를 위한
자동이체와 해당 대출의 이자출금은 가능합니다.
③ 통장 잔액이 플러스(+)인 잔액 범위 내에서는「KB주거행복 월세대출」약정여부와 관계없이
현금인출에 제한이 없습니다."
KB_bank,기타,「KB 주거행복 월세통장」 특약,10,기타 유의사항,"① 이 통장은 양도 및 담보제공이 되지 않습니다.
② 이 통장은 비과세종합저축으로 가입 가능합니다.
단, 관련 세법이 개정 될 경우 세율이 변경되거나 세금이 부과될 수 있습니다.
③ 이 통장은「KB주거행복 월세대출」을 제외한 유동성 한도대출의 연결계좌로 사용할 수 없습니다."
