chunk_id,doc_id,은행명,상품종류,상품이름,조항,조항이름,text,context
1,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,전문,전문,"은행 용본 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다. 은행은 본인에게 이 약정서상의 중요한 내용을 설명하여야 하며, 은행여신거래기본약관(가계용)과이 약정서의 사본을 교부하여야 합니다. 대출거래약정서( ) (종합통장자동대출 및 가계당좌대출용) (작성일자 : 20 . . ) 1. 본인은 주식회사 국민은행(이하 “은행”)과 아래의 조건에 따라 대출거래를 함에 있어 은행여신거래기본약관(가계용) 및이 약정서 사본을 확실히 수령하고, 주요 내용에 대하여 충분한 설명을 듣고 이해하였습니다. 2. 본인은 개인(신용)정보 조회 수집 이용 제공 동의서를 이해하고 동의하며, 개인(신용)정보 수집 이용 제공에 대한 고객권리안내문에 관해 자세히 설명 듣고 수령하였습니다. 3. 변동금리대출은 대출기간 중 대출이자율이 인상될 수 있으며, 이에 따라 재무적 부담이 증가될 수 있다는 내용에 대하여 충분한 설명을 듣고 이해하였습니다. 주소","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 전문 전문 은행 용본 약관은 관련 법령 및 내부통제 절차에 따라 작성되었으며 대출계약 체결 시 필수적으로 고객님에게 제공됩니다. 은행은 본인에게 이 약정서상의 중요한 내용을 설명하여야 하며, 은행여신거래기본약관(가계용)과이 약정서의 사본을 교부하여야 합니다. 대출거래약정서( ) (종합통장자동대출 및 가계당좌대출용) (작성일자 : 20 . . ) 1. 본인은 주식회사 국민은행(이하 “은행”)과 아래의 조건에 따라 대출거래를 함에 있어 은행여신거래기본약관(가계용) 및이 약정서 사본을 확실히 수령하고, 주요 내용에 대하여 충분한 설명을 듣고 이해하였습니다. 2. 본인은 개인(신용)정보 조회 수집 이용 제공 동의서를 이해하고 동의하며, 개인(신용)정보 수집 이용 제공에 대한 고객권리안내문에 관해 자세히 설명 듣고 수령하였습니다. 3. 변동금리대출은 대출기간 중 대출이자율이 인상될 수 있으며, 이에 따라 재무적 부담이 증가될 수 있다는 내용에 대하여 충분한 설명을 듣고 이해하였습니다. 주소"
2,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,1,거래조건  (거래방식이 수 개로 되어 있는 경우 은행 직원의 설명을 듣고 해당되는 “” 내에 “∨” 표시합니다.),⑮ 약정계좌대출(한도)약정 계좌번호 : 은행영업시간 마감이후 자동화기기 또는 전자금융매체를 통한 계좌입금분은 당일 중 상환으로 처리되지 않을 수 있음을 유의하시기 바랍니다. 종합통장자동대출 대출기간 만료일이 토요일 또는 공휴일인 경우에는 직전 영업일 또는 다음 영업일을 대출기간 만료일로 하기로 합니다.,국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 1 거래조건  (거래방식이 수 개로 되어 있는 경우 은행 직원의 설명을 듣고 해당되는 “” 내에 “∨” 표시합니다.) ⑮ 약정계좌대출(한도)약정 계좌번호 : 은행영업시간 마감이후 자동화기기 또는 전자금융매체를 통한 계좌입금분은 당일 중 상환으로 처리되지 않을 수 있음을 유의하시기 바랍니다. 종합통장자동대출 대출기간 만료일이 토요일 또는 공휴일인 경우에는 직전 영업일 또는 다음 영업일을 대출기간 만료일로 하기로 합니다.
3,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,"제3항의 대출(한도)금액에 여유가 있음에도 불구하고, 대출금 인출을 제한할 수 있습니다. 이 경우 은행은 그 사실을 채무자에게 즉시 통지합니다 . ② 제 1항에서 정한 사유가 해결되어 없어져서 정상적 여신거래가 가능한 경우에는 은행은 인출 제한을 해제하기로 합니다.","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제3항의 대출(한도)금액에 여유가 있음에도 불구하고, 대출금 인출을 제한할 수 있습니다. 이 경우 은행은 그 사실을 채무자에게 즉시 통지합니다 . ② 제 1항에서 정한 사유가 해결되어 없어져서 정상적 여신거래가 가능한 경우에는 은행은 인출 제한을 해제하기로 합니다."
4,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,3,기타 특약사항,본인 : (서명 또는 인),국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 3 기타 특약사항 본인 : (서명 또는 인)
5,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,"제7항의 대출이자율 중 「MOR」 또는 「COFIX」를 기준으로 약정하는 대출의 경우, 대출을 실행하는 날의 「MOR」 또는 「COFIX」 금리에 따라 고객님의 대출이자 율이 적용됩니다. 이 경우에는 실제 적용할 대출이자율을 대출거래장에 표시하고, 개별통지는 생략합니다. 다만, 대출실행내역 통지서비스를 신청한 고객에게는 신청 한 통지방법에 따라 개별통지 합니다. ②","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제7항의 대출이자율 중 「MOR」 또는 「COFIX」를 기준으로 약정하는 대출의 경우, 대출을 실행하는 날의 「MOR」 또는 「COFIX」 금리에 따라 고객님의 대출이자 율이 적용됩니다. 이 경우에는 실제 적용할 대출이자율을 대출거래장에 표시하고, 개별통지는 생략합니다. 다만, 대출실행내역 통지서비스를 신청한 고객에게는 신청 한 통지방법에 따라 개별통지 합니다. ②"
6,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,제7항의 「MOR」 과 「COFIX」는 다음 각 호와 같이 결정됩니다. 1. 「MOR」 : 「MOR」은,국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제7항의 「MOR」 과 「COFIX」는 다음 각 호와 같이 결정됩니다. 1. 「MOR」 : 「MOR」은
7,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,"제7항에서 선택한 「금리재산정주기」 또는 고정금리기간에 따라 결정됩니다. 「금리재산정주기」 또는 고정금리기간이 「3개월」인 경우 「MOR」 은 「CD 91 일물 유통수익률」, 「6개월」 이상인 경우 「MOR」은 「금리재산정주기」 또는 고정금리기간과 동일한 잔존만기를 가진 「AAA 등급 금융채유통수익률」을 각각 사용합니다. 현재 은행이 사용하는 「MOR」 중 「CD91일물 유통수익률」은 한국은행, 「금융채유통수익률」은 금융투자협회가 고시하는 전주 최종영업일 전 영업일 종가 입니다. 이 「MOR」의 적용기준은 금융환경의 변화(예 : 91일물 CD 거래 없음) 등 불가피한 사정이 발생할 경우 변경될 수 있습니다. 이 경우 은행은 영업점 게시판, 인터넷 매체 등을 통해 고시하기로 합니다. 2. 「COFIX」 : 「COFIX」는 대출실행일 직전 영업일 전국은행연합회에 최종 고시되어 있는 「신규취급액기준 COFIX」,「신 잔액기준 COFIX」, 「잔액기준 COFIX」 중 고객 이 약정을 할때 선택한 금리를 적용합니다. 이 「COFIX」의 적용기준은 금융환경의 변화(예 : COFIX 전국은행연합회 고시 없음) 등 불가피한 사정이 발생할 경우 변 경될 수 있습니다. 이 경우 은행은 영업점 게시판, 인터넷 매체 등을 통해 고시하기로 합니다. ③ 대출실행일에 결정된 대출이자율은 다음 각 호와 같이 변동됩니다. 1.","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제7항에서 선택한 「금리재산정주기」 또는 고정금리기간에 따라 결정됩니다. 「금리재산정주기」 또는 고정금리기간이 「3개월」인 경우 「MOR」 은 「CD 91 일물 유통수익률」, 「6개월」 이상인 경우 「MOR」은 「금리재산정주기」 또는 고정금리기간과 동일한 잔존만기를 가진 「AAA 등급 금융채유통수익률」을 각각 사용합니다. 현재 은행이 사용하는 「MOR」 중 「CD91일물 유통수익률」은 한국은행, 「금융채유통수익률」은 금융투자협회가 고시하는 전주 최종영업일 전 영업일 종가 입니다. 이 「MOR」의 적용기준은 금융환경의 변화(예 : 91일물 CD 거래 없음) 등 불가피한 사정이 발생할 경우 변경될 수 있습니다. 이 경우 은행은 영업점 게시판, 인터넷 매체 등을 통해 고시하기로 합니다. 2. 「COFIX」 : 「COFIX」는 대출실행일 직전 영업일 전국은행연합회에 최종 고시되어 있는 「신규취급액기준 COFIX」,「신 잔액기준 COFIX」, 「잔액기준 COFIX」 중 고객 이 약정을 할때 선택한 금리를 적용합니다. 이 「COFIX」의 적용기준은 금융환경의 변화(예 : COFIX 전국은행연합회 고시 없음) 등 불가피한 사정이 발생할 경우 변 경될 수 있습니다. 이 경우 은행은 영업점 게시판, 인터넷 매체 등을 통해 고시하기로 합니다. ③ 대출실행일에 결정된 대출이자율은 다음 각 호와 같이 변동됩니다. 1."
8,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제1조,,제7항의 「변동금리」 또는 「혼합금리」 대출의 대출기간 만료일 이내 가. 「MOR」에 연동하는 대출 : 대출실행일부터 매 「금리재산정주기」가 도래하는 날에 제2항에 의해 정해진 「MOR」과,국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제1조 제7항의 「변동금리」 또는 「혼합금리」 대출의 대출기간 만료일 이내 가. 「MOR」에 연동하는 대출 : 대출실행일부터 매 「금리재산정주기」가 도래하는 날에 제2항에 의해 정해진 「MOR」과
9,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제9조,,에 의해 정해진 우대금리 적용기준에 따라 재산정됩니다. 나. 「COFIX」에 연동하는 대출 : 대출실행일부터 매 「금리재산정주기」가 도래하는 날 직전 영업일 전국은행연합회에 최종 고시되어 있는 「COFIX」와,국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제9조 에 의해 정해진 우대금리 적용기준에 따라 재산정됩니다. 나. 「COFIX」에 연동하는 대출 : 대출실행일부터 매 「금리재산정주기」가 도래하는 날 직전 영업일 전국은행연합회에 최종 고시되어 있는 「COFIX」와
10,1,국민은행,대출,II 종합통장자동대출 및 가계당좌대출용 대출거래약정서,제9조,,"에 의해 정 해진 우대금리 적용기준에 따라 재산정됩니다. 다. 「수신(신탁)금리」에 연동하는 대출 : 수신(신탁)금리가 변동된 날에 대출이자율이 변동됩니다. 다만, 복수예금을 담보로 한 대출은 이자납부 시점의 담보제공금액 을 기준으로 재산출한 가중평균 수신금리에 따라 대출이자율이 변동되고, 또한 일부상환 등에 따라 채무자의 신청에 의해 담보예금별 담보제공금액이 변경되는 경우 변경된 담보제공금액을 기준으로 재산출한 가중평균 수신금리에 따라 대출이자율이 변동됩니다. 라. 「기타」 대출 : 은행과 협약기관(또는 고객)이 별도 정한 바에 따라 이자율이 변동됩니다. 2.","국민은행 대출 II 종합통장자동대출 및 가계당좌대출용 대출거래약정서 제9조 에 의해 정 해진 우대금리 적용기준에 따라 재산정됩니다. 다. 「수신(신탁)금리」에 연동하는 대출 : 수신(신탁)금리가 변동된 날에 대출이자율이 변동됩니다. 다만, 복수예금을 담보로 한 대출은 이자납부 시점의 담보제공금액 을 기준으로 재산출한 가중평균 수신금리에 따라 대출이자율이 변동되고, 또한 일부상환 등에 따라 채무자의 신청에 의해 담보예금별 담보제공금액이 변경되는 경우 변경된 담보제공금액을 기준으로 재산출한 가중평균 수신금리에 따라 대출이자율이 변동됩니다. 라. 「기타」 대출 : 은행과 협약기관(또는 고객)이 별도 정한 바에 따라 이자율이 변동됩니다. 2."
