은행명,상품종류,상품이름,조항,조항이름,조항내용
우리은행,적금,「Npay 우리 적금」특약,제1조,약관의 적용,"① 이 특약은 「Npay 우리 적금」(이하 ‘이 적금’이라 합니다) 거래에 대하여 적용하고,
이 특약에서 정하지 않은 사항은 「예금거래기본약관」 및 「적립식예금약관」, 「전자뱅킹서비스 이용약관」을 적용합니다.
② 우리은행 ‘계좌간 자동이체’를 통해 이 적금에 저축하는 경우 「계좌간 자동이체 약관」을 적용합니다. 단, 다른 금융회사를 통해 자동이체하는 경우 해당 금융회사가 정한 내용에 따릅니다.)"
우리은행,적금,「Npay 우리 적금」특약,제2조,예금종류,이 적금의 종류는 정기적금(자유적립식)으로 합니다.
우리은행,적금,「Npay 우리 적금」특약,제3조,가입대상,이 적금의 가입대상은 「Npay 우리 통장」을 보유한 17세 이상 실명의 개인(내국인) 으로 1인 1계좌만 가입 가능합니다.
우리은행,적금,「Npay 우리 적금」특약,제4조,가입방법,이 적금은 네이버파이낸셜 주식회사의 웹 또는 앱페이지를 통하여 가입할 수있습니다.
우리은행,적금,「Npay 우리 적금」특약,제5조,저축기간,이 적금의 저축기간은 가입일부터 6개월입니다.
우리은행,적금,「Npay 우리 적금」특약,제6조,적립한도 및 저축방법,"이 적금은 자유적립식이며, 저축한도는 월 30만원 이하(해당 월 초일부터 말일 까지)로 1천원 단위로 적립이 가능합니다."
우리은행,적금,「Npay 우리 적금」특약,제7조,이율의 적용,이 적금의 기본이율은 가입일 당시 영업점 및 우리은행 홈페이지에 고시한 이율을 적용합니다.
우리은행,적금,「Npay 우리 적금」특약,제8조,중도해지이율,이 적금을 만기일 전에 지급 청구할 때는 가입일 당시 영업점 및 우리은행 홈페이지에 고시한 중도해지이율을 적용합니다.
우리은행,적금,「Npay 우리 적금」특약,제9조,만기 후 이율,이 적금은 만기 후 해지 시 만기일 당시 영업점 및 우리은행 홈페이지에 고시한 만기 후 이율을 적용합니다.
우리은행,적금,「Npay 우리 적금」특약,제10조,세제혜택,이 적금은 가입자 본인의 비과세종합저축 한도 내에서 비과세종합저축으로 가입할 수 있습니다.
우리은행,적금,「Npay 우리 적금」특약,제11조,계약해지방법,"이 적금은 영업점, 우리은행 인터넷뱅킹 또는 스마트뱅킹을 통해 해지할 수 있습니다.
※ 만기가 휴일(관공서의 공휴일에 관한 규정에 의한 관공서의 공휴일, 토요일, 근로자의 날)인 경우, 직전 영업일에 해지하면 ‘만기앞당김 지급’과 ‘중도해지’가 아닌 ‘만기해지’로 적용되며, 이자는 일수
로 계산하여 지급됩니다."
우리은행,적금,「Npay 우리 적금」특약,제12조,중도인출,"이 적금은 초입금을 제외한 지정 입금 건별로 중도인출이 가능하며, 만기해지 포함 총 3회로 한정합니다. 이 때 중도인출 금액에 대해서 제8조의 중도해지 이자율을 적용합니다."
우리은행,적금,「Npay 우리 적금」특약,제13조,제한사항,"① 이 적금은 공동명의 가입 및 양도에 의한 명의변경이 불가합니다.
② 이 적금은 만기 앞당김 해지가 불가합니다.
③ 이 적금은 해지 후 재가입이 불가합니다.
부 칙 (변경사항)
기 가입고객 변경일 내 용 관련조항 적용여부
2025.08.19 약관 제정 - -
※ 본 서류는 법령 및 내부통제기준에 따른 절차를 거쳐 금융소비자에게 제공되는 문서입니다."
우리은행,적금,「Npay 우리 통장」특약,제1조,약관의 적용,"「Npay 우리 통장」 (이하 ‘이 예금’이라 합니다.) 거래는 이 특약을 우선 적용하며, 이 특약에서 정하지 않은 사항은 「예금거래 기본약관」, 「입출금이 자유로운 예금 약관」, 「전자금융거래 기본약관」을 적용합니다."
우리은행,적금,「Npay 우리 통장」특약,제2조,예금종류,이 예금은 저축예금으로 합니다.
우리은행,적금,「Npay 우리 통장」특약,제3조,가입대상,"이 예금의 가입대상은 17세 이상 실명의 개인(내국인)으로, 1인 1계좌만 가입 가능합니다."
우리은행,적금,「Npay 우리 통장」특약,제4조,가입방법,이 예금은 네이버파이낸셜 주식회사의 웹 또는 앱페이지에 연계된 「우리은행 비대면 실명확인 서비스」를 통해서만 가입 가능합니다.
우리은행,적금,「Npay 우리 통장」특약,제5조,기본금리,이 예금의 기본금리는 매일의 최종 예금 잔액에 대해 영업점 및 우리은행 홈페이지에 고시한 금리가 적용됩니다.
우리은행,적금,「Npay 우리 통장」특약,제6조,우대금리,"① 이 예금의 우대금리는 매일의 2백만원 이하 잔액에 대하여 이 예금을 Npay에 연결하여 결제 등의 서비스[네이버파이낸셜 제휴서비스/Npay 머니 통장 서비스] (이하 ‘Npay 머니 통장 서비스’라 한다.) 이용 시에만 제공합니다. 단, 2백만원을 초과하는 예금 잔액 및 ‘Npay 머니 통장 서비스’ 해지 시에는 우대금리를 제공하지 않습니다.
② 최초 가입일(통장개설일)로부터 5년 이내 기간에 대하여 제5조의 금리에 더하여 적용합니다. 기간에 따른 우대금리는 가입 시점의 상품설명서 및우리은행 홈페이지에 고시합니다.
③ 우대금리 중 이벤트 특별금리의 경우 대상자에 한해 기본금리에 가산하여
- 1 -

적용합니다. 이벤트 특별금리 대상 요건은 가입 시점의 상품설명서
및 우리은행 홈페이지에 고시하며, 이벤트 내용에 따른 이벤트 특별금리가 적용됩니다.
④ 이 예금을 해지 후 재가입한 경우, 우대금리 및 이벤트 특별금리를 제공하지 않습니다. 단, 최초 가입일로부터 1개월 이내 재가입한 경우에는 우대금리(이벤트 특별금리 포함)를 제공합니다."
우리은행,적금,「Npay 우리 통장」특약,제7조,이자의 지급,"① 이 예금의 금리는 매일의 최종 예금 잔액에 대해 예금 보유일 현재(공휴일인 경우에는 직전영업일) 영업점 및 우리은행 홈페이지에 고시한 기본금리 및 우대금리를 합산하여 적용합니다.
② 이 예금의 기본금리는 변경될 수 있으며, 금리 변경 시에는 변경일로부터 변경된 금리가 적용됩니다.
③ 이 예금의 이자는 매월 셋째 토요일(원가일)에 원금에 더합니다.
④ 이 예금의 이자계산 기간은 최초 예금일(또는 지난 원가일)로부터 원가일 전일까지입니다."
우리은행,적금,「Npay 우리 통장」특약,제8조,상품명 변경,"이 예금은 ‘Npay 머니 통장 서비스’ 이용 시 「Npay 머니 우리 통장」으로 상품명이 변경되며, ‘Npay 머니 통장 서비스’ 해지 시 다시 이 예금으로 상품명이 변경됩니다."
우리은행,적금,「Npay 우리 통장」특약,제9조,수수료 우대서비스,"이 예금을 통한 거래 시 아래의 수수료 우대 서비스를 제공합니다.
수수료 항목 우대 내용
1. 우리은행 전자금융(인터넷, 모바일, 텔레뱅킹) 이용한 면제 다른 은행으로의 이체수수료
※ 단, 이 예금을 통한
2. 우리은행 자동화기기 이용한 영업시간 외 현금출금 수수료 거래에서 발생하는
3. 우리은행 자동화기기 이용한 다른 은행으로의 이체수수료 수수료에 한함
4. 납부자 자동이체(타행자동이체) 수수료"
우리은행,적금,「Npay 우리 통장」특약,제10조,상품전환,"다른 예금에서 이 예금으로 전환 또는 이 예금에서 다른 예금으로 전환은 불가합니다.
- 2 -

수수료 항목: 우대 내용"
